DEPARTMENT,EMAIL,FIRSTNAME,ID,LASTNAME,LOGIN,PASSWORD,PROGRAMMINGLANGUAGE,STATUS,TOKEN,TYPEOFEMPLOYEE,TYPEOFTESTER
Team1,Parfenov@mail.com,Ivan,1,Parfenov,employee1,123admin,Custom,CUSTOM,e6368342-ae1d-40ef-9bfd-e28eba43aa90,Tester,Custom
Team2,Medvedev@mail.com,Kirill,2,Medvedev,employee2,1234nimda,Custom,CUSTOM,9bba8047-f0aa-473d-aef9-6905edcd3f99,Tester,Custom
Team3,Yeremin@mail.com,Sergey,3,Yeremin,employee3,12345,Custom,CUSTOM,56b52b03-d76f-4105-8c06-3a3efb12633a,Tester,Custom
Team4,Raykin@mail.com,Daniil,4,Raykin,employee4,Raspbery,Custom,CUSTOM,e279d5e5-94be-4984-920b-625f92422865,Tester,Custom
Team5,Zhirnov@mail.com,Denis,5,Zhirnov,employee5,31415,Custom,CUSTOM,2e61fe24-15b5-458f-aaac-2e8b4c80218f,Tester,Custom
Team6,Shalyapin@mail.com,Dmitry,6,Shalyapin,employee5,51220,Custom,CUSTOM,6a169881-15fe-4153-8aad-fdff28fc60d8,Tester,Custom
Team7,Shchitov@mail.com,Yevgeny,7,Shchitov,employee6,311220,Custom,CUSTOM,8eff243f-46cb-4532-8b09-dabc5662d0b6,Tester,Custom
Team8,Kuznetsov@mail.com,Anatoliy,8,Kuznetsov,employee7,@g004,Custom,CUSTOM,0a644ce4-1de9-4e22-a867-072bf4c3b780,Tester,Custom
Team9,Tsvetaeva@mail.com,Anton,9,Tsvetaeva,employee8,password,Custom,CUSTOM,68075f8d-04ef-472a-8cdc-6b896d9ee9da,Tester,Custom
Team10,Hasymov@mail.com,Vladimir,10,Hasymov,employee9,theif,Custom,CUSTOM,960651c6-4aa4-4274-9752-c5244a139005,Tester,Custom
